County,Sean Patrick Maloney (DEM),Letitia A. James (DEM),Leecia R. Eve (DEM),Zephyr Teachout (DEM)
Albany County Vote Results,"9,111","4,257","1,716","11,475"
Allegany County Vote Results,625,200,66,382
Broome County Vote Results,"4,504","1,702",415,"3,710"
Cattaraugus County Vote Results,"1,200",318,201,581
Cayuga County Vote Results,"1,941",538,103,840
Chautauqua County Vote Results,"2,468",753,295,"1,355"
Chemung County Vote Results,"1,107",925,224,"1,051"
Chenango County Vote Results,678,233,48,571
Clinton County Vote Results,692,528,110,"1,202"
Columbia County Vote Results,"1,350",619,160,"3,790"
Cortland County Vote Results,847,288,51,713
Delaware County Vote Results,546,306,62,"1,218"
Dutchess County Vote Results,"6,807","3,905",395,"8,540"
Erie County Vote Results,"32,879","10,228","12,540","19,762"
Essex County Vote Results,347,313,58,875
Franklin County Vote Results,713,339,99,679
Fulton County Vote Results,699,188,48,556
Genesee County Vote Results,764,208,94,484
Greene County Vote Results,708,220,68,"1,253"
Hamilton County Vote Results,93,40,20,116
Herkimer County Vote Results,552,286,55,651
Jefferson County Vote Results,844,576,120,730
Lewis County Vote Results,235,84,29,155
Livingston County Vote Results,"1,123",321,71,791
Madison County Vote Results,"1,429",477,123,"1,120"
Monroe County Vote Results,"20,133","9,345","1,771","13,977"
Montgomery County Vote Results,692,196,84,596
Nassau County Vote Results,"22,358","33,354","2,577","18,016"
Niagara County Vote Results,"5,179","1,548",876,"2,483"
Oneida County Vote Results,"2,822","1,457",290,"2,753"
Onondaga County Vote Results,"11,295","5,147",940,"7,527"
Ontario County Vote Results,"2,503",675,184,"1,580"
Orange County Vote Results,"9,255","4,584",436,"5,041"
Orleans County Vote Results,476,126,49,221
Oswego County Vote Results,"1,780",487,126,867
Otsego County Vote Results,625,408,97,"2,183"
Putnam County Vote Results,"2,387",965,106,"2,143"
Rensselaer County Vote Results,"2,835",903,424,"4,112"
Rockland County Vote Results,"7,339","8,227",667,"6,410"
St. Lawrence County Vote Results,"1,448",852,153,"1,373"
Saratoga County Vote Results,"3,481","1,178",424,"5,287"
Schenectady County Vote Results,"3,056","1,138",350,"3,817"
Schoharie County Vote Results,434,111,48,673
Schuyler County Vote Results,229,179,39,424
Seneca County Vote Results,834,236,60,470
Steuben County Vote Results,"1,089",639,163,956
Suffolk County Vote Results,"19,823","24,663","2,568","18,913"
Sullivan County Vote Results,"1,368",770,115,"1,796"
Tioga County Vote Results,752,327,90,671
Tompkins County Vote Results,"1,763","1,534",320,"7,326"
Ulster County Vote Results,"4,264","2,360",320,"10,876"
Warren County Vote Results,"1,042",288,72,"1,183"
Washington County Vote Results,771,197,65,"1,085"
Wayne County Vote Results,"1,260",339,69,658
Westchester County Vote Results,"23,990","31,593","2,930","28,985"
Wyoming County Vote Results,472,96,71,226
Yates County Vote Results,413,130,33,323
Bronx County Vote Results,"26,206","84,466","3,657","13,069"
Kings County Vote Results,"36,002","163,715","5,045","91,916"
New York County Vote Results,"41,774","85,319","4,769","105,205"
Queens County Vote Results,"38,840","99,804","4,590","37,930"
Richmond County Vote Results,"7,847","13,100",618,"4,412"
